_id,gene_name,symbol
21022,probable sulfate transporter 3.5-like,LOC101261992
21023,uncharacterized LOC101261993,LOC101261993
21024,KH domain-containing protein At4g18375-like,LOC101261995
21025,uncharacterized LOC101261996,LOC101261996
21026,trypsin inhibitor A-like,LOC101261997
21027,peroxidase 64-like,LOC101261998
21028,auxin-induced protein 5NG4-like,LOC101261999
21029,"probable ATP synthase 24 kDa subunit, mitochondrial-like",LOC101262000
21030,dof zinc finger protein DOF3.3-like,LOC101262001
21031,uncharacterized LOC101262002,LOC101262002
21032,probable receptor-like protein kinase At5g61350-like,LOC101262003
21033,60S ribosomal protein L6-like,LOC101262004
21034,probable serine/threonine-protein kinase At1g18390-like,LOC101262005
21035,AP-1 complex subunit gamma-2-like,LOC101262006
21036,uncharacterized LOC101262007,LOC101262007
21037,"ribulose-phosphate 3-epimerase, cytoplasmic isoform-like",LOC101262009
21038,(+)-pulegone reductase-like,LOC101262011
21039,laccase-12-like,LOC101262012
21040,U-box domain-containing protein 35-like,LOC101262013
21041,lysine-specific histone demethylase 1 homolog 3-like,LOC101262014
21042,uncharacterized LOC101262016,LOC101262016
21043,uncharacterized LOC101262017,LOC101262017
21044,ubiquitin carboxyl-terminal hydrolase 8-like,LOC101262018
21045,haloalkane dehalogenase 2-like,LOC101262019
21046,glutamate receptor 2.7-like,LOC101262020
21047,uncharacterized LOC101262021,LOC101262021
21048,synaptotagmin-5-like,LOC101262022
21049,AP2-like ethylene-responsive transcription factor AIL5-like,LOC101262024
21050,transmembrane protein 184C-like,LOC101262025
21051,uncharacterized LOC101262026,LOC101262026
21052,pyruvate dehydrogenase E1 component subunit alpha-like,LOC101262027
21053,mitogen-activated protein kinase kinase kinase 2-like,LOC101262028
21054,G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290-like,LOC101262029
21055,E3 SUMO-protein ligase MMS21-like,LOC101262030
21056,B3 domain-containing protein REM14-like,LOC101262031
21057,pentatricopeptide repeat-containing protein At4g21065-like,LOC101262032
21058,probable GABA transporter 2-like,LOC101262033
21059,putative copper-transporting ATPase HMA5-like,LOC101262035
21060,uncharacterized LOC101262036,LOC101262036
21061,uncharacterized LOC101262037,LOC101262037
21062,uncharacterized LOC101262038,LOC101262038
21063,BTB/POZ domain-containing protein At3g05675-like,LOC101262039
21064,protein LURP-one-related 15-like,LOC101262040
21065,auxin-induced in root cultures protein 12-like,LOC101262042
21066,geraniol 8-hydroxylase-like,LOC101262043
21067,uncharacterized LOC101262044,LOC101262044
21068,mavicyanin-like,LOC101262046
21069,multiple C2 and transmembrane domain-containing protein 2-like,LOC101262047
21070,uncharacterized LOC101262048,LOC101262048
21071,probable receptor-like protein kinase At5g24010-like,LOC101262049
21072,uncharacterized LOC101262051,LOC101262051
21073,F-box protein PP2-B15-like,LOC101262052
21074,probable indole-3-acetic acid-amido synthetase GH3.5-like,LOC101262053
21075,seed biotin-containing protein SBP65-like,LOC101262056
21076,uncharacterized LOC101262057,LOC101262057
21077,choline transporter-like protein 3-like,LOC101262058
21078,proton-coupled amino acid transporter 1-like,LOC101262059
21079,uncharacterized LOC101262060,LOC101262060
21080,uncharacterized LOC101262061,LOC101262061
21081,GATA transcription factor 26-like,LOC101262062
21082,cytochrome P450 98A2-like,LOC101262063
21083,uncharacterized LOC101262064,LOC101262064
21084,ribosomal RNA-processing protein 8-like,LOC101262065
21085,uncharacterized LOC101262066,LOC101262066
21086,cytochrome P450 86B1-like,LOC101262067
21087,40S ribosomal protein S17-like,LOC101262068
21088,uncharacterized LOC101262069,LOC101262069
21089,peptidyl-prolyl cis-trans isomerase PASTICCINO1-like,LOC101262070
21090,protein SRG1-like,LOC101262071
21091,elongation factor 1-gamma 2-like,LOC101262072
21092,probable inactive receptor kinase At1g27190-like,LOC101262073
21093,geraniol 8-hydroxylase-like,LOC101262074
21094,uncharacterized LOC101262075,LOC101262075
21095,uncharacterized LOC101262076,LOC101262076
21096,uncharacterized LOC101262077,LOC101262077
21097,serine/threonine-protein phosphatase BSL3-like,LOC101262078
21098,patatin group A-3-like,LOC101262079
21099,uncharacterized LOC101262080,LOC101262080
21100,"linoleate 13S-lipoxygenase 2-1, chloroplastic-like",LOC101262081
21101,protein TRANSPARENT TESTA 12-like,LOC101262082
21102,potassium transporter 4-like,LOC101262083
21103,E3 ubiquitin-protein ligase SINA-like 10-like,LOC101262084
21104,lysine histidine transporter 1-like,LOC101262085
21105,"single-stranded DNA-binding protein, mitochondrial-like",LOC101262086
21106,putative transactivator/viroplasmin protein-like,LOC101262087
21107,uncharacterized LOC101262089,LOC101262089
21108,kinesin-4-like,LOC101262090
21109,uncharacterized LOC101262091,LOC101262091
21110,xylosyltransferase oxt-like,LOC101262092
21111,pachytene checkpoint protein 2 homolog,LOC101262093
21112,inositol-tetrakisphosphate 1-kinase 1-like,LOC101262094
21113,myb family transcription factor APL-like,LOC101262095
21114,kinesin-like protein KIN12B-like,LOC101262096
21115,protein CASP-like,LOC101262097
21116,uncharacterized LOC101262098,LOC101262098
21117,"putative calcium-transporting ATPase 11, plasma membrane-type-like",LOC101262099
21118,uncharacterized LOC101262100,LOC101262100
21119,"ATP-dependent Clp protease proteolytic subunit 2, mitochondrial-like",LOC101262101
21120,uncharacterized LOC101262103,LOC101262103
21121,uncharacterized LOC101262104,LOC101262104
21122,uncharacterized LOC101262105,LOC101262105
21123,uncharacterized LOC101262106,LOC101262106
21124,BRI1 kinase inhibitor 1-like,LOC101262109
21125,GDT1-like protein 4-like,LOC101262110
21126,uncharacterized LOC101262111,LOC101262111
21127,uncharacterized LOC101262112,LOC101262112
21128,putative receptor-like protein kinase At1g72540-like,LOC101262113
21129,putative late blight resistance protein homolog R1C-3-like,LOC101262114
21130,CASP-like protein POPTRDRAFT_822486-like,LOC101262115
21131,uncharacterized LOC101262116,LOC101262116
21132,mitochondrial import receptor subunit TOM9-2-like,LOC101262117
21133,uncharacterized LOC101262118,LOC101262118
21134,uncharacterized LOC101262120,LOC101262120
21135,uncharacterized LOC101262121,LOC101262121
21136,uncharacterized LOC101262122,LOC101262122
21137,acyl-coenzyme A thioesterase 13-like,LOC101262123
21138,uncharacterized LOC101262124,LOC101262124
21139,transcription factor bHLH87-like,LOC101262125
21140,uncharacterized LOC101262126,LOC101262126
21141,S-norcoclaurine synthase-like,LOC101262127
21142,pentatricopeptide repeat-containing protein At4g33170-like,LOC101262128
21143,cytochrome P450 734A1-like,LOC101262129
21144,uncharacterized LOC101262130,LOC101262130
21145,uncharacterized LOC101262131,LOC101262131
21146,putative GATA transcription factor 22-like,LOC101262132
21147,fimbrin-like protein 2-like,LOC101262133
21148,uncharacterized LOC101262134,LOC101262134
21149,uncharacterized LOC101262135,LOC101262135
21150,uncharacterized LOC101262136,LOC101262136
21151,influenza virus NS1A-binding protein homolog,LOC101262138
21152,protein IQ-DOMAIN 14-like,LOC101262139
21153,uncharacterized LOC101262140,LOC101262140
21154,serine/threonine-protein kinase At5g01020-like,LOC101262141
21155,S-adenosylmethionine decarboxylase proenzyme-like,LOC101262142
21156,premnaspirodiene oxygenase-like,LOC101262143
21157,uncharacterized LOC101262144,LOC101262144
21158,uncharacterized LOC101262145,LOC101262145
21159,probable E3 ubiquitin-protein ligase ARI7-like,LOC101262146
21160,A/G-specific adenine DNA glycosylase-like,LOC101262147
21161,exportin-7-like,LOC101262148
21162,LRR receptor-like serine/threonine-protein kinase ERL1-like,LOC101262149
21163,uncharacterized LOC101262150,LOC101262150
21164,E3 ubiquitin-protein ligase PRT1-like,LOC101262151
21165,E3 ubiquitin-protein ligase RMA1H1-like,LOC101262152
21166,uncharacterized LOC101262154,LOC101262154
21167,probable carbohydrate esterase At4g34215-like,LOC101262155
21168,uncharacterized LOC101262156,LOC101262156
21169,pathogen-related protein-like,LOC101262158
21170,uncharacterized LOC101262161,LOC101262161
21171,uncharacterized LOC101262162,LOC101262162
21172,actin-7-like,LOC101262163
21173,"pentatricopeptide repeat-containing protein At5g39980, chloroplastic-like",LOC101262164
21174,U-box domain-containing protein 5-like,LOC101262165
21175,uncharacterized LOC101262168,LOC101262168
21176,uncharacterized LOC101262169,LOC101262169
21177,uncharacterized LOC101262170,LOC101262170
21178,probable purine permease 9-like,LOC101262171
21179,kxDL motif-containing protein CG10681-like,LOC101262172
21180,probable UDP-N-acetylglucosamine pyrophosphorylase-like,LOC101262173
21181,feruloyl CoA ortho-hydroxylase 1-like,LOC101262174
21182,protein LONGIFOLIA 2-like,LOC101262175
21183,uncharacterized LOC101262176,LOC101262176
21184,uncharacterized LOC101262177,LOC101262177
21185,late blight resistance protein R1-A-like,LOC101262178
21186,putative nuclease HARBI1-like,LOC101262179
21187,transcription factor GAMYB-like,LOC101262180
21188,probable inorganic phosphate transporter 1-3-like,LOC101262181
21189,uncharacterized LOC101262182,LOC101262182
21190,uncharacterized LOC101262184,LOC101262184
21191,receptor-like protein 12-like,LOC101262185
21192,uncharacterized LOC101262187,LOC101262187
21193,uncharacterized LOC101262188,LOC101262188
21194,ras-related protein RABH1e-like,LOC101262189
21195,UDP-glycosyltransferase 76F1-like,LOC101262190
21196,cytochrome P450 71A25-like,LOC101262191
21197,aldo-keto reductase family 4 member C9-like,LOC101262192
21198,uncharacterized LOC101262193,LOC101262193
21199,glycylpeptide N-tetradecanoyltransferase 1-like,LOC101262194
21200,conserved oligomeric Golgi complex subunit 1-like,LOC101262195
21201,uncharacterized LOC101262196,LOC101262196
21202,putative proline--tRNA ligase C19C7.06-like,LOC101262197
21203,"pentatricopeptide repeat-containing protein At1g74850, chloroplastic-like",LOC101262199
21204,cysteine-rich receptor-like protein kinase 25-like,LOC101262201
21205,putative late blight resistance protein homolog R1A-10-like,LOC101262202
21206,uncharacterized LOC101262203,LOC101262203
21207,uncharacterized LOC101262204,LOC101262204
21208,TPR repeat-containing thioredoxin TTL4-like,LOC101262205
21209,pentatricopeptide repeat-containing protein At2g22070-like,LOC101262206
21210,uncharacterized LOC101262207,LOC101262207
21211,rhamnogalacturonate lyase B-like,LOC101262208
21212,uncharacterized LOC101262209,LOC101262209
21213,uncharacterized LOC101262211,LOC101262211
21214,probable peptide transporter At1g52190-like,LOC101262212
21215,fruit protein pKIWI502-like,LOC101262213
21216,3-ketoacyl-CoA synthase 11-like,LOC101262214
21217,uncharacterized LOC101262215,LOC101262215
21218,uncharacterized LOC101262216,LOC101262216
21219,uncharacterized LOC101262217,LOC101262217
21220,"rhodanese-like domain-containing protein 14, chloroplastic-like",LOC101262218
21221,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A-like,LOC101262219
21222,E3 ubiquitin-protein ligase synoviolin-like,LOC101262220
21223,uncharacterized LOC101262223,LOC101262223
21224,cytochrome P450 734A1-like,LOC101262224
21225,probably inactive leucine-rich repeat receptor-like protein kinase At5g48380-like,LOC101262225
21226,G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5-like,LOC101262226
21227,benzyl alcohol O-benzoyltransferase-like,LOC101262227
21228,uncharacterized LOC101262228,LOC101262228
21229,uncharacterized LOC101262230,LOC101262230
21230,uncharacterized LOC101262231,LOC101262231
21231,homeobox-leucine zipper protein HAT2-like,LOC101262232
21232,cation/H(+) antiporter 18-like,LOC101262233
21233,uncharacterized LOC101262235,LOC101262235
21234,uncharacterized LOC101262236,LOC101262236
21235,5-dehydro-2-deoxygluconokinase-like,LOC101262237
21236,tetraspanin-19-like,LOC101262238
21237,transcription factor bHLH95-like,LOC101262239
21238,basic 7S globulin-like,LOC101262240
21239,probably inactive leucine-rich repeat receptor-like protein kinase At3g28040-like,LOC101262241
21240,uncharacterized LOC101262242,LOC101262242
21241,uncharacterized LOC101262243,LOC101262243
21242,uncharacterized LOC101262244,LOC101262244
21243,disease resistance response protein 206-like,LOC101262245
21244,uncharacterized LOC101262246,LOC101262246
21245,uncharacterized LOC101262247,LOC101262247
21246,UDP-glycosyltransferase 75C1-like,LOC101262248
21247,uncharacterized LOC101262249,LOC101262249
21248,uncharacterized LOC101262250,LOC101262250
21249,uncharacterized LOC101262251,LOC101262251
21250,zerumbone synthase-like,LOC101262252
21251,endonuclease III-like protein 1-like,LOC101262253
21252,F-box protein At4g00755-like,LOC101262254
21253,"protein PROTON GRADIENT REGULATION 5, chloroplastic-like",LOC101262255
21254,putative protein phosphatase 2C-like protein 44-like,LOC101262256
21255,glucose and ribitol dehydrogenase homolog 1-like,LOC101262257
21256,probable receptor-like protein kinase At5g18500-like,LOC101262258
21257,probable galacturonosyltransferase 12-like,LOC101262259
21258,"thylakoid membrane phosphoprotein 14 kDa, chloroplastic-like",LOC101262260
21259,uncharacterized LOC101262261,LOC101262261
21260,MLO-like protein 4-like,LOC101262263
21261,leucine-rich repeat receptor protein kinase EXS-like,LOC101262264
21262,putative transactivator/viroplasmin protein-like,LOC101262265
21263,transmembrane protein 87B-like,LOC101262266
21264,leucine-rich repeat receptor-like tyrosine-protein kinase At2g41820-like,LOC101262268
21265,histone deacetylase HDT1-like,LOC101262270
21266,protein YeeZ-like,LOC101262271
21267,BTB/POZ domain-containing protein At5g03250-like,LOC101262272
21268,50S ribosomal protein L7/L12-like,LOC101262273
21269,probable serine/threonine-protein kinase At1g18390-like,LOC101262274
21270,protein SCARECROW 1-like,LOC101262278
21271,"translocase of chloroplast 120, chloroplastic-like",LOC101262279
21272,pentatricopeptide repeat-containing protein At5g56310-like,LOC101262280
21273,G-type lectin S-receptor-like serine/threonine-protein kinase B120-like,LOC101262282
21274,putative disease resistance RPP13-like protein 1-like,LOC101262283
21275,probable sugar phosphate/phosphate translocator At4g32390-like,LOC101262284
21276,uncharacterized LOC101262285,LOC101262285
21277,probable LRR receptor-like serine/threonine-protein kinase At1g53430-like,LOC101262286
21278,RING-H2 finger protein ATL80-like,LOC101262287
21279,eukaryotic translation initiation factor 5-like,LOC101262288
21280,leucine-rich repeat extensin-like protein 4-like,LOC101262289
21281,histone-lysine N-methyltransferase ATXR4-like,LOC101262290
21282,GDSL esterase/lipase 5-like,LOC101262291
21283,nephrocystin-3-like,LOC101262292
21284,serine/threonine-protein phosphatase 7 long form homolog,LOC101262293
21285,uncharacterized LOC101262294,LOC101262294
21286,hydroxysteroid 11-beta-dehydrogenase 1-like protein-like,LOC101262295
21287,miraculin-like,LOC101262296
21288,60S ribosomal protein L13-2-like,LOC101262297
21289,hypoxanthine-guanine phosphoribosyltransferase-like,LOC101262298
21290,"geranylgeranyl diphosphate reductase, chloroplastic-like",LOC101262299
21291,galactinol--sucrose galactosyltransferase-like,LOC101262300
21292,uncharacterized LOC101262301,LOC101262301
21293,uncharacterized LOC101262302,LOC101262302
21294,potassium transporter 6-like,LOC101262303
21295,calreticulin-3-like,LOC101262304
21296,RAF proto-oncogene serine/threonine-protein kinase-like,LOC101262305
21297,uncharacterized LOC101262306,LOC101262306
21298,uncharacterized LOC101262309,LOC101262309
21299,putative G3BP-like protein-like,LOC101262310
21300,alcohol dehydrogenase 1-like,LOC101262311
21301,uncharacterized LOC101262312,LOC101262312
21302,laccase-12-like,LOC101262313
21303,D-inositol 3-phosphate glycosyltransferase-like,LOC101262314
21304,uncharacterized LOC101262315,LOC101262315
21305,uncharacterized LOC101262317,LOC101262317
21306,60S ribosomal protein L12-like,LOC101262318
21307,putative axial regulator YABBY 2-like,LOC101262319
21308,protein FAR1-RELATED SEQUENCE 8-like,LOC101262320
21309,glutamate receptor 2.8-like,LOC101262321
21310,"mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1-like",LOC101262322
21311,protein CUP-SHAPED COTYLEDON 3-like,LOC101262323
21312,putative chloride channel-like protein CLC-g-like,LOC101262324
21313,uncharacterized LOC101262325,LOC101262325
21314,myb-related protein Myb4-like,LOC101262326
21315,organic cation/carnitine transporter 7-like,LOC101262327
21316,uncharacterized LOC101262328,LOC101262328
21317,putative beta-glucosidase 41-like,LOC101262329
21318,uncharacterized LOC101262330,LOC101262330
21319,uncharacterized LOC101262331,LOC101262331
21320,uncharacterized LOC101262332,LOC101262332
21321,uncharacterized LOC101262333,LOC101262333
21322,high mobility group B protein 13-like,LOC101262334
21323,uncharacterized LOC101262335,LOC101262335
21324,uncharacterized LOC101262336,LOC101262336
21325,uncharacterized LOC101262337,LOC101262337
21326,syntaxin-121-like,LOC101262338
21327,probable serine/threonine-protein kinase At5g41260-like,LOC101262339
21328,uncharacterized LOC101262340,LOC101262340
21329,F-box/LRR-repeat protein At1g67190-like,LOC101262341
21330,mannan synthase 1-like,LOC101262342
21331,E3 ubiquitin-protein ligase PUB24-like,LOC101262343
21332,ubiquitin-like-conjugating enzyme ATG10-like,LOC101262344
21333,uncharacterized LOC101262345,LOC101262345
21334,serine/threonine-protein kinase OXI1-like,LOC101262346
21335,geraniol 8-hydroxylase-like,LOC101262347
21336,vicilin-like antimicrobial peptides 2-2-like,LOC101262348
21337,"nifU-like protein 1, chloroplastic-like",LOC101262349
21338,tRNA (guanine-N(7)-)-methyltransferase-like,LOC101262350
21339,mavicyanin-like,LOC101262351
21340,uncharacterized LOC101262352,LOC101262352
21341,cytochrome P450 86A2-like,LOC101262353
21342,F-box protein PP2-B15-like,LOC101262356
21343,probable indole-3-acetic acid-amido synthetase GH3.5-like,LOC101262357
21344,uncharacterized LOC101262358,LOC101262358
21345,probable WRKY transcription factor 65-like,LOC101262361
21346,"thioredoxin M3, chloroplastic-like",LOC101262362
21347,pathogenesis-related protein 1B-like,LOC101262363
21348,uncharacterized LOC101262364,LOC101262364
21349,uncharacterized LOC101262365,LOC101262365
21350,uncharacterized LOC101262366,LOC101262366
21351,cytochrome P450 98A2-like,LOC101262367
21352,zinc finger CCCH domain-containing protein 14-like,LOC101262368
21353,uncharacterized LOC101262370,LOC101262370
21354,cytochrome P450 86B1-like,LOC101262371
21355,transcription factor DIVARICATA-like,LOC101262372
21356,aspartic proteinase PCS1-like,LOC101262373
21357,probable ubiquitin-like-specific protease 2B-like,LOC101262374
21358,uncharacterized LOC101262375,LOC101262375
21359,GDSL esterase/lipase At1g29670-like,LOC101262376
21360,geraniol 8-hydroxylase-like,LOC101262378
21361,uncharacterized LOC101262379,LOC101262379
21362,uncharacterized LOC101262380,LOC101262380
21363,ATP-dependent Clp protease ATP-binding subunit ClpX-like,LOC101262381
21364,mitogen-activated protein kinase kinase kinase 4-like,LOC101262383
21365,kinesin-1-like,LOC101262384
21366,uncharacterized LOC101262385,LOC101262385
21367,protein TRANSPARENT TESTA 12-like,LOC101262386
21368,B3 domain-containing transcription factor VRN1-like,LOC101262388
21369,gypsy retrotransposon integrase-like protein 1-like,LOC101262389
21370,uncharacterized LOC101262390,LOC101262390
21371,"probable acyl-activating enzyme 17, peroxisomal-like",LOC101262391
21372,probable protein kinase At2g41970-like,LOC101262392
21373,"probable phytol kinase 1, chloroplastic-like",LOC101262393
21374,uncharacterized LOC101262394,LOC101262394
21375,lysophospholipid acyltransferase 2-like,LOC101262395
21376,calcineurin B-like protein 4-like,LOC101262396
21377,CBL-interacting serine/threonine-protein kinase 5-like,LOC101262397
21378,uncharacterized LOC101262398,LOC101262398
21379,bidirectional sugar transporter SWEET12-like,LOC101262399
21380,transcription factor bHLH62-like,LOC101262401
21381,uncharacterized LOC101262402,LOC101262402
21382,putative ribonuclease H protein At1g65750-like,LOC101262403
21383,"50S ribosomal protein L20, chloroplastic-like",LOC101262404
21384,uncharacterized LOC101262405,LOC101262405
21385,uncharacterized LOC101262407,LOC101262407
21386,uncharacterized LOC101262408,LOC101262408
21387,uncharacterized LOC101262409,LOC101262409
21388,uncharacterized LOC101262411,LOC101262411
21389,uncharacterized LOC101262412,LOC101262412
21390,uncharacterized LOC101262413,LOC101262413
21391,topoisomerase (DNA) III alpha,TOP3A
21392,uncharacterized LOC101262416,LOC101262416
21393,uncharacterized LOC101262417,LOC101262417
21394,GATA transcription factor 1-like,LOC101262419
21395,uncharacterized LOC101262420,LOC101262420
21396,diacylglycerol kinase gamma-like,LOC101262422
21397,ferric reduction oxidase 2-like,LOC101262423
21398,putative transactivator/viroplasmin protein-like,LOC101262424
21399,laccase-12-like,LOC101262425
21400,uncharacterized LOC101262426,LOC101262426
21401,cytosolic enolase 3-like,LOC101262427
21402,"ADP,ATP carrier protein ER-ANT1-like",LOC101262428
21403,putative leucine-rich repeat receptor-like protein kinase At2g19210-like,LOC101262429
21404,piriformospora indica-insensitive protein 2-like,LOC101262430
21405,S-norcoclaurine synthase-like,LOC101262431
21406,uncharacterized LOC101262432,LOC101262432
21407,pentatricopeptide repeat-containing protein At3g14730-like,LOC101262433
21408,uncharacterized LOC101262434,LOC101262434
21409,uncharacterized LOC101262435,LOC101262435
21410,probable long-chain-alcohol O-fatty-acyltransferase 3-like,LOC101262436
21411,short-chain type dehydrogenase/reductase-like,LOC101262437
21412,uncharacterized LOC101262438,LOC101262438
21413,uncharacterized LOC101262439,LOC101262439
21414,uncharacterized LOC101262440,LOC101262440
21415,uncharacterized LOC101262442,LOC101262442
21416,B3 domain-containing transcription factor VRN1-like,LOC101262443
21417,uncharacterized LOC101262444,LOC101262444
21418,uncharacterized LOC101262446,LOC101262446
21419,probable calcium-binding protein CML16-like,LOC101262447
21420,premnaspirodiene oxygenase-like,LOC101262448
21421,importin-5-like,LOC101262450
21422,uncharacterized LOC101262451,LOC101262451
21423,putative transactivator/viroplasmin protein-like,LOC101262452
21424,uncharacterized LOC101262453,LOC101262453
21425,serine/threonine-protein kinase-like protein At3g51990-like,LOC101262454
21426,putative E3 ubiquitin-protein ligase RF298-like,LOC101262455
21427,putative pentatricopeptide repeat-containing protein At3g25970-like,LOC101262456
21428,uncharacterized LOC101262457,LOC101262457
21429,uncharacterized LOC101262458,LOC101262458
21430,E3 ubiquitin-protein ligase RMA1H1-like,LOC101262459
21431,probably inactive leucine-rich repeat receptor-like protein kinase At2g25790-like,LOC101262461
21432,uncharacterized LOC101262462,LOC101262462
21433,probable glycerophosphoryl diester phosphodiesterase 3-like,LOC101262463
21434,uncharacterized LOC101262465,LOC101262465
21435,fructose-bisphosphate aldolase cytoplasmic isozyme-like,LOC101262466
21436,membrane-anchored ubiquitin-fold protein 4-like,LOC101262467
21437,expansin-A3-like,LOC101262468
21438,eukaryotic translation initiation factor 5-like,LOC101262469
21439,"probable plastid-lipid-associated protein 7, chloroplastic-like",LOC101262470
21440,xylosyltransferase 1-like,LOC101262471
21441,tubby-like F-box protein 5-like,LOC101262472
21442,gamma-tubulin complex component 2-like,LOC101262474
21443,nodulation-signaling pathway 2 protein-like,LOC101262476
21444,uncharacterized LOC101262477,LOC101262477
21445,dnaJ homolog subfamily B member 13-like,LOC101262478
21446,probable purine permease 9-like,LOC101262479
21447,probable carboxylesterase 17-like,LOC101262480
21448,uncharacterized LOC101262481,LOC101262481
21449,uncharacterized LOC101262482,LOC101262482
21450,LOB domain-containing protein 4-like,LOC101262483
21451,uncharacterized LOC101262484,LOC101262484
21452,disease resistance protein RPM1-like,LOC101262485
21453,transcription factor MYB48-like,LOC101262486
21454,feruloyl CoA ortho-hydroxylase 2-like,LOC101262487
21455,acidic endochitinase-like,LOC101262490
21456,synaptotagmin-5-like,LOC101262491
21457,heavy metal-associated isoprenylated plant protein 26-like,LOC101262492
21458,serine/threonine-protein phosphatase 4 regulatory subunit 2-like,LOC101262493
21459,uncharacterized LOC101262494,LOC101262494
21460,cytochrome P450 750A1-like,LOC101262495
21461,aldo-keto reductase family 4 member C9-like,LOC101262496
21462,protein disulfide isomerase-like 1-6-like,LOC101262499
21463,uncharacterized LOC101262500,LOC101262500
21464,transcription factor MYB1R1-like,LOC101262503
21465,probable deoxycytidylate deaminase-like,LOC101262504
21466,uncharacterized LOC101262505,LOC101262505
21467,histidine kinase 4-like,LOC101262506
21468,uncharacterized LOC101262507,LOC101262507
21469,uncharacterized LOC101262508,LOC101262508
21470,lipoxygenase homology domain-containing protein 1-like,LOC101262509
21471,uncharacterized LOC101262510,LOC101262510
21472,"pentatricopeptide repeat-containing protein At4g39620, chloroplastic-like",LOC101262511
21473,XIAP-associated factor 1-like,LOC101262512
21474,uncharacterized LOC101262513,LOC101262513
21475,U-box domain-containing protein 43-like,LOC101262514
21476,uncharacterized LOC101262515,LOC101262515
21477,probable peptide transporter At1g52190-like,LOC101262516
21478,uncharacterized LOC101262518,LOC101262518
21479,homeobox-leucine zipper protein ROC8-like,LOC101262519
21480,uncharacterized LOC101262520,LOC101262520
21481,pre-mRNA-splicing factor ISY1 homolog,LOC101262521
21482,ethylene-responsive transcription factor 1B-like,LOC101262522
21483,mitochondrial chaperone BCS1-like,LOC101262523
21484,uncharacterized LOC101262524,LOC101262524
21485,uncharacterized LOC101262525,LOC101262525
21486,putative exosome complex component rrp40-like,LOC101262526
21487,cytochrome P450 94A1-like,LOC101262529
21488,uncharacterized LOC101262531,LOC101262531
21489,uncharacterized LOC101262532,LOC101262532
21490,putative cell wall protein-like,LOC101262534
21491,uncharacterized LOC101262535,LOC101262535
21492,transmembrane protein 184C-like,LOC101262537
21493,release factor glutamine methyltransferase-like,LOC101262538
21494,pentatricopeptide repeat-containing protein At5g66520-like,LOC101262539
21495,inositol-tetrakisphosphate 1-kinase 1-like,LOC101262540
21496,probable glycosyltransferase At5g03795-like,LOC101262541
21497,cation/H(+) antiporter 17-like,LOC101262542
21498,apyrase 2-like,LOC101262543
21499,ER membrane protein complex subunit 7 homolog,LOC101262544
21500,pollen-specific protein SF21-like,LOC101262545
21501,uncharacterized LOC101262547,LOC101262547
21502,basic 7S globulin-like,LOC101262548
21503,uncharacterized LOC101262549,LOC101262549
21504,uncharacterized LOC101262550,LOC101262550
21505,endoribonuclease Dicer homolog 2-like,LOC101262551
21506,uncharacterized LOC101262553,LOC101262553
21507,uncharacterized LOC101262554,LOC101262554
21508,uncharacterized LOC101262555,LOC101262555
21509,UDP-glycosyltransferase 75B1-like,LOC101262556
21510,uncharacterized LOC101262557,LOC101262557
21511,probable galacturonosyltransferase-like 7-like,LOC101262558
21512,probable cytosolic iron-sulfur protein assembly protein-like,LOC101262559
21513,mannose/glucose-specific lectin-like,LOC101262560
21514,OTU domain-containing protein At3g57810-like,LOC101262561
21515,acid phosphatase 1-like,LOC101262562
21516,uncharacterized LOC101262563,LOC101262563
21517,uncharacterized LOC101262564,LOC101262564
21518,TBC1 domain family member CG11727-like,LOC101262565
21519,uncharacterized LOC101262568,LOC101262568
21520,transmembrane 9 superfamily member 3-like,LOC101262570
21521,basic 7S globulin-like,LOC101262571
21522,"beta-fructofuranosidase, insoluble isoenzyme 2-like",LOC101262572
21523,acetyltransferase NSI-like,LOC101262573
21524,uncharacterized LOC101262576,LOC101262576
21525,probable galacturonosyltransferase-like 2-like,LOC101262578
21526,DELLA protein GAI-like,LOC101262579
21527,uncharacterized LOC101262580,LOC101262580
21528,ras-related protein RABC2a-like,LOC101262581
21529,protein SCAI-like,LOC101262582
21530,uncharacterized LOC101262585,LOC101262585
21531,uncharacterized LOC101262586,LOC101262586
21532,cytochrome P450 94A1-like,LOC101262587
21533,uncharacterized LOC101262588,LOC101262588
21534,uncharacterized LOC101262589,LOC101262589
21535,transcription factor MYB46-like,LOC101262590
21536,beta-amyrin synthase-like,LOC101262591
21537,putative dual specificity protein phosphatase DSP8-like,LOC101262592
21538,uncharacterized LOC101262593,LOC101262593
21539,ruvB-like 2-like,LOC101262595
21540,eukaryotic translation initiation factor 5-like,LOC101262596
21541,uncharacterized LOC101262597,LOC101262597
21542,fatty acyl-CoA reductase 2-like,LOC101262598
21543,transcription factor MYB12-like,LOC101262599
21544,uncharacterized LOC101262600,LOC101262600
21545,tetraketide alpha-pyrone reductase 1-like,LOC101262601
21546,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 homolog",LOC101262603
21547,pentatricopeptide repeat-containing protein At4g38150-like,LOC101262604
21548,uncharacterized LOC101262605,LOC101262605
